Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Cast.myzus.minia	358	75	0	0	0	0	283887	114722	0	0	0	0	253	3925	236836	642011	29.30	26.29	968	-	704	-	79	-	152	-	0	0	0	0	0	0	1	5 + 2 part	6132	35.755	1.005	0.00	106.73	3.05	3925	230689	940	-	679	-	80	-	155	-
Cast.rearranged.minia	78	74	42	15	1	0	520938	518461	427806	243191	30736	0	76	30736	520081	642011	26.07	26.29	9491	7207	5875	3196	17	25	35	56	0	0	0	0	0	0	0	0 + 0 part	0	81.004	1.000	0.00	158.25	10.96	30736	520060	9491	7207	5875	3196	17	25	35	56
Cast.schyzaphis.minia	184	22	0	0	0	0	122348	30575	0	0	0	0	114	4320	91373	642011	31.60	26.29	782	-	620	-	40	-	73	-	0	0	0	0	0	0	1	0 + 2 part	2078	13.811	1.007	0.00	83.46	3.38	4320	89292	757	-	599	-	41	-	75	-
Clover.LSR1.minia	16	15	12	11	7	5	642691	641977	634307	627134	569122	489159	16	206820	642691	642011	26.39	26.29	78137	78137	56574	56574	3	3	5	5	0	0	0	1	0	0	0	2 + 0 part	1895	99.813	1.000	0.00	202.24	12.64	206809	640764	78137	78137	56574	56574	3	3	5	5
Clover.myzus.minia	377	80	1	0	0	0	301182	122765	5494	0	0	0	271	5494	253225	642011	29.47	26.29	986	-	679	-	84	-	162	-	0	0	0	0	0	0	0	8 + 0 part	7696	38.102	1.004	0.00	161.07	4.09	5494	245491	948	-	663	-	86	-	166	-
Clover.rearranged.minia	33	33	24	17	7	3	523962	523962	497841	449742	313924	182305	33	79909	523962	642011	26.07	26.29	30297	18656	12956	6231	6	8	13	22	0	0	0	1	0	0	0	0 + 0 part	0	81.611	1.000	0.00	204.22	13.36	79909	523923	30297	18656	12956	6231	6	8	13	22
Clover.schyzaphis.minia	203	19	0	0	0	0	130549	28120	0	0	0	0	115	3731	91407	642011	32.22	26.29	778	-	587	-	40	-	73	-	0	0	0	0	0	0	0	2 + 0 part	2477	13.771	1.006	0.00	134.60	2.26	3731	88930	759	-	577	-	41	-	76	-
Gers.LSR1.minia	62	59	41	29	3	0	639209	637072	580704	492208	88766	0	61	34124	638772	642011	26.40	26.29	15553	15553	10390	10390	16	16	28	28	0	0	0	1	0	0	0	0 + 2 part	1878	99.162	1.000	0.00	175.93	11.78	34124	636874	15553	15553	10390	10390	16	16	28	28
Gers.myzus.minia	369	83	0	0	0	0	294181	124344	0	0	0	0	269	3922	249415	642011	29.30	26.29	992	-	672	-	84	-	161	-	0	0	0	0	0	0	1	5 + 2 part	7363	37.490	1.006	0.00	115.50	4.15	3922	241999	945	-	653	-	85	-	166	-
Gers.rearranged.minia	68	66	40	19	1	0	522109	520918	446465	297944	28298	0	67	28298	521672	642011	26.05	26.29	11487	8998	7079	3633	16	22	31	49	0	0	0	1	0	0	0	0 + 0 part	0	81.252	1.000	0.00	173.68	11.69	28293	521642	11487	8998	7079	3633	16	22	31	49
Gers.schyzaphis.minia	198	21	0	0	0	0	128418	29441	0	0	0	0	118	4324	92736	642011	31.71	26.29	758	-	592	-	41	-	76	-	0	0	0	0	0	0	1	0 + 2 part	2024	14.036	1.007	0.00	88.78	3.33	4324	90709	739	-	583	-	42	-	78	-
Gs.LSR1.minia	6	4	3	3	3	3	644711	643331	642237	642237	642237	642237	5	509156	644276	642011	26.37	26.29	509156	509156	509156	509156	1	1	1	1	0	0	0	0	0	0	0	0 + 2 part	1873	100.000	1.001	0.00	213.55	15.11	509080	642254	509080	509080	509080	509080	1	1	1	1
Gs.myzus.minia	436	83	1	0	0	0	337496	128227	5520	0	0	0	297	5520	275025	642011	29.12	26.29	940	-	694	-	93	-	178	-	0	0	0	0	0	0	1	6 + 2 part	7578	41.269	1.009	0.00	196.26	6.04	5520	267392	920	-	673	-	95	-	182	-
Gs.rearranged.minia	22	22	20	17	8	3	528190	528190	519069	498792	346624	171135	22	66813	528190	642011	26.03	26.29	35280	30584	19195	13177	6	8	11	16	0	0	0	0	0	0	0	0 + 0 part	0	82.247	1.000	0.00	214.57	15.53	66800	528034	35280	30536	19195	13176	6	8	11	16
Gs.schyzaphis.minia	240	22	0	0	0	0	154039	30834	0	0	0	0	137	3735	108127	642011	31.49	26.29	762	-	615	-	49	-	89	-	0	0	0	0	0	0	1	0 + 2 part	2020	16.386	1.009	0.00	153.04	3.80	3735	106093	746	-	604	-	50	-	91	-
Gt.LSR1.minia	4	3	2	2	2	2	644167	643219	642118	642118	642118	642118	4	587587	644167	642011	26.37	26.29	587587	587587	587587	587587	1	1	1	1	0	0	0	0	0	0	0	0 + 2 part	1877	100.000	1.000	0.00	215.57	16.98	587524	642155	587524	587524	587524	587524	1	1	1	1
Gt.myzus.minia	460	87	1	0	0	0	351994	132340	5522	0	0	0	316	5522	286927	642011	29.00	26.29	932	-	672	-	99	-	190	-	0	0	0	0	0	0	1	6 + 2 part	8024	42.947	1.012	0.00	205.64	8.34	5522	278836	917	-	641	-	101	-	195	-
Gt.rearranged.minia	21	21	20	16	8	3	528471	528471	524238	498592	359479	183984	21	79933	528471	642011	26.03	26.29	35277	32292	21855	13228	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.310	1.000	0.00	214.78	17.60	79933	528330	35277	32292	21855	13228	6	7	10	15
Gt.schyzaphis.minia	256	25	0	0	0	0	163220	34054	0	0	0	0	148	3876	115080	642011	31.37	26.29	739	-	599	-	53	-	96	-	0	0	0	0	0	0	1	0 + 2 part	2021	17.450	1.009	0.00	171.38	5.36	3876	113036	728	-	587	-	54	-	98	-
L10Lap02.LSR1.minia	2	2	2	2	2	1	642164	642164	642164	642164	642164	607300	2	607300	642164	642011	26.28	26.29	607300	607300	607300	607300	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	99.997	1.000	0.00	179.44	13.40	607203	641976	607203	607203	607203	607203	1	1	1	1
L10Lap02.myzus.minia	435	101	1	0	0	0	360955	159655	5502	0	0	0	321	5502	309658	642011	28.58	26.29	1013	-	698	-	97	-	189	-	0	0	0	0	0	0	0	5 + 0 part	5073	47.147	1.006	0.00	167.50	4.96	5500	304512	1002	-	682	-	98	-	192	-
L10Lap02.rearranged.minia	22	22	19	16	8	3	528587	528587	518448	498620	359671	184204	22	79916	528587	642011	26.03	26.29	35262	32284	21901	13206	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.305	1.000	0.00	183.95	13.82	79916	528398	35262	32284	21901	13206	6	7	10	15
L10Lap02.schyzaphis.minia	233	23	0	0	0	0	155280	34540	0	0	0	0	142	3624	114880	642011	30.92	26.29	786	-	611	-	50	-	91	-	0	0	0	0	0	0	0	0 + 0 part	0	17.795	1.006	0.00	165.43	4.38	3624	114869	786	-	611	-	50	-	91	-
L10Mo01.LSR1.minia	2	2	2	2	2	2	642211	642211	642211	642211	642211	642211	2	509219	642211	642011	26.29	26.29	509219	509219	509219	509219	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	3.58	0.62	509110	642031	509110	509110	509110	509110	1	1	1	1
L10Mo01.myzus.minia	438	105	1	0	0	0	376833	170823	5508	0	0	0	338	5508	331821	642011	28.57	26.29	1018	522	709	-	101	317	198	-	0	0	0	0	0	0	0	5 + 0 part	5597	50.435	1.007	0.00	3.09	0.31	5508	326223	1007	513	694	-	102	323	201	-
L10Mo01.rearranged.minia	22	22	21	17	8	3	528696	528696	524507	498764	346596	171086	22	66796	528696	642011	26.04	26.29	35274	30611	19195	13178	6	8	11	16	0	0	0	0	0	0	0	0 + 0 part	0	82.319	1.000	0.00	3.97	0.57	66782	528516	35274	30531	19195	13177	6	8	11	16
L10Mo01.schyzaphis.minia	252	33	0	0	0	0	176741	49348	0	0	0	0	157	3629	134396	642011	30.56	26.29	853	-	657	-	53	-	98	-	0	0	0	0	0	0	0	0 + 0 part	0	20.851	1.004	0.00	1.49	0.00	3629	134396	853	-	657	-	53	-	98	-
L10Mo03.LSR1.minia	3	3	3	3	3	2	642231	642231	642231	642231	642231	607384	3	474391	642231	642011	26.28	26.29	474391	474391	132993	132993	1	1	2	2	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	4.67	0.93	474354	642050	474354	474354	132923	132923	1	1	2	2
L10Mo03.myzus.minia	441	110	2	0	0	0	385304	179603	11469	0	0	0	340	5956	339900	642011	28.53	26.29	1027	543	710	-	101	304	198	-	0	0	0	0	0	0	0	5 + 0 part	5898	51.650	1.007	0.00	4.22	0.60	5956	334001	1019	532	698	-	103	310	202	-
L10Mo03.rearranged.minia	23	23	20	17	8	3	528925	528925	518772	498937	346596	171084	23	66802	528925	642011	26.04	26.29	35276	30604	19201	13182	6	8	11	16	0	0	0	0	0	0	0	0 + 0 part	0	82.351	1.000	0.00	5.11	0.57	66783	528744	35276	30532	19201	13178	6	8	11	16
L10Mo03.schyzaphis.minia	249	33	0	0	0	0	181096	51427	0	0	0	0	174	3615	147809	642011	30.44	26.29	840	-	653	-	58	-	109	-	0	0	0	0	0	0	0	0 + 0 part	0	22.946	1.003	0.00	2.04	0.68	3615	147806	840	-	653	-	58	-	109	-
L11Vc04.LSR1.minia	1	1	1	1	1	1	642217	642217	642217	642217	642217	642217	1	642217	642217	642011	26.29	26.29	642217	642217	642217	642217	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	136.91	14.02	642058	642058	642058	642058	642058	642058	1	1	1	1
L11Vc04.myzus.minia	415	92	1	0	0	0	348990	147893	5492	0	0	0	318	5492	305698	642011	28.70	26.29	975	-	708	-	98	-	189	-	0	0	0	0	0	0	0	6 + 0 part	5410	46.452	1.007	0.00	126.08	6.04	5492	300249	970	-	693	-	98	-	191	-
L11Vc04.rearranged.minia	21	21	20	16	8	3	528643	528643	524420	498711	359704	184221	21	79925	528643	642011	26.04	26.29	35267	32284	21905	13251	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.310	1.000	0.00	137.95	14.19	79925	528481	35264	32284	21905	13251	6	7	10	15
L11Vc04.schyzaphis.minia	217	23	0	0	0	0	151046	35506	0	0	0	0	143	3620	118086	642011	30.91	26.29	805	-	640	-	49	-	90	-	0	0	0	0	0	0	0	0 + 0 part	0	18.303	1.005	0.00	105.53	6.81	3620	118059	805	-	640	-	49	-	90	-
L11Vc05.LSR1.minia	2	2	2	2	2	2	642237	642237	642237	642237	642237	642237	2	426606	642237	642011	26.28	26.29	426606	426606	215631	215631	1	1	2	2	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	137.69	14.49	426523	642077	426523	426523	215554	215554	1	1	2	2
L11Vc05.myzus.minia	435	103	2	0	0	0	373757	169900	11458	0	0	0	329	5953	326300	642011	28.59	26.29	1015	514	708	-	97	319	192	-	0	0	0	0	0	0	0	5 + 0 part	5944	49.549	1.007	0.00	127.94	5.97	5953	320299	1009	-	693	-	99	-	195	-
L11Vc05.rearranged.minia	21	21	20	16	8	3	528702	528702	524474	498746	359729	184228	21	79921	528702	642011	26.04	26.29	35271	32289	21906	13240	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.321	1.000	0.00	138.88	14.95	79921	528537	35266	32289	21906	13240	6	7	10	15
L11Vc05.schyzaphis.minia	249	29	0	0	0	0	173276	43436	0	0	0	0	167	3796	136752	642011	30.70	26.29	803	-	624	-	57	-	105	-	0	0	0	0	0	0	0	0 + 0 part	0	21.185	1.005	0.00	103.67	5.15	3796	136728	803	-	624	-	57	-	105	-
L14Lap03.LSR1.minia	2	2	2	2	2	1	642154	642154	642154	642154	642154	607303	2	607303	642154	642011	26.28	26.29	607303	607303	607303	607303	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	99.997	1.000	0.00	180.53	12.77	607213	641986	607213	607213	607213	607213	1	1	1	1
L14Lap03.myzus.minia	414	95	1	0	0	0	346904	151131	5505	0	0	0	317	5505	303664	642011	28.66	26.29	991	-	696	-	96	-	187	-	0	0	0	0	0	0	0	5 + 0 part	5661	46.117	1.006	0.00	169.21	5.40	5500	297957	973	-	682	-	98	-	191	-
L14Lap03.rearranged.minia	22	22	19	16	8	3	528556	528556	518432	498615	359659	184198	22	79914	528556	642011	26.03	26.29	35270	32274	21901	13211	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.301	1.000	0.00	184.90	13.25	79914	528384	35270	32274	21901	13211	6	7	10	15
L14Lap03.schyzaphis.minia	227	23	0	0	0	0	151240	34728	0	0	0	0	143	3622	113880	642011	30.94	26.29	748	-	596	-	49	-	92	-	0	0	0	0	0	0	0	0 + 0 part	0	17.650	1.005	0.00	161.50	5.29	3622	113862	748	-	596	-	49	-	92	-
L14Os02.LSR1.minia	22	21	19	15	7	4	642876	642251	637185	605234	476526	356713	22	125309	642876	642011	26.31	26.29	60867	60867	22541	22541	4	4	8	8	0	0	0	0	0	0	0	0 + 0 part	0	99.988	1.001	0.00	100.94	7.63	125309	642710	60867	60867	22528	22528	4	4	8	8
L14Os02.myzus.minia	223	34	0	0	0	0	156846	47474	0	0	0	0	142	3602	121055	642011	29.80	26.29	875	-	653	-	49	-	89	-	0	0	0	0	0	0	0	2 + 0 part	1580	18.527	1.004	0.00	82.39	1.68	3602	119467	852	-	643	-	49	-	90	-
L14Os02.rearranged.minia	36	35	27	20	5	1	528519	527976	502035	451175	203168	52436	36	52436	528519	642011	26.06	26.29	21460	18467	13220	8038	8	11	16	24	0	0	0	0	0	0	0	0 + 0 part	0	82.216	1.001	0.00	101.74	7.96	52374	528354	21460	18467	13220	8038	8	11	16	24
L14Os02.schyzaphis.minia	64	6	0	0	0	0	41389	10465	0	0	0	0	34	3362	27910	642011	34.11	26.29	693	-	585	-	11	-	22	-	0	0	0	0	0	0	0	0 + 0 part	0	4.336	1.003	0.00	43.10	0.00	3362	27910	693	-	585	-	11	-	22	-
L14Os06.LSR1.minia	5	5	5	5	3	3	642265	642265	642265	642265	607372	607372	5	286337	642265	642011	26.29	26.29	188475	188475	132560	132560	2	2	3	3	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	101.71	7.48	286275	642108	188471	188471	132545	132545	2	2	3	3
L14Os06.myzus.minia	293	49	0	0	0	0	221359	77035	0	0	0	0	206	3608	182756	642011	29.51	26.29	877	-	659	-	65	-	126	-	0	0	0	0	0	0	0	3 + 0 part	3106	27.824	1.006	0.00	79.49	3.36	3608	179636	867	-	649	-	66	-	128	-
L14Os06.rearranged.minia	24	23	20	17	7	3	528388	527837	517742	497959	328431	183605	24	79890	528388	642011	26.04	26.29	35258	32266	18831	12329	6	7	11	16	0	0	0	0	0	0	0	0 + 0 part	0	82.272	1.000	0.00	102.05	7.76	79890	528230	35257	32266	18831	12253	6	7	11	16
L14Os06.schyzaphis.minia	115	9	0	0	0	0	75165	15173	0	0	0	0	72	3356	55813	642011	32.33	26.29	724	-	580	-	25	-	47	-	0	0	0	0	0	0	0	0 + 0 part	0	8.670	1.003	0.00	71.86	0.00	3356	55813	724	-	580	-	25	-	47	-
L14Os08.LSR1.minia	2	2	1	1	1	1	642966	642966	641808	641808	641808	641808	2	641808	642966	642011	26.34	26.29	641808	641808	641808	641808	1	1	1	1	0	0	0	1	0	0	0	0 + 1 part	1046	99.965	1.000	0.00	217.83	13.71	641699	641811	641699	641699	641699	641699	1	1	1	1
L14Os08.myzus.minia	455	113	2	0	0	0	392960	180963	11473	0	0	0	351	5957	346293	642011	28.58	26.29	1022	554	715	-	106	304	207	-	0	0	0	0	0	0	0	6 + 1 part	7594	52.307	1.009	0.00	188.79	8.34	5957	338635	1017	538	693	-	108	311	211	-
L14Os08.rearranged.minia	21	21	20	16	8	3	528316	528316	524086	498351	359463	184233	21	79935	528316	642011	26.05	26.29	35264	32295	21849	13220	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	82.285	1.000	0.00	219.58	14.20	79935	528203	35264	32295	21849	13220	6	7	10	15
L14Os08.schyzaphis.minia	265	33	0	0	0	0	187918	49643	0	0	0	0	181	3800	150418	642011	30.74	26.29	813	-	637	-	62	-	114	-	0	0	0	0	0	0	0	1 + 1 part	1669	23.032	1.006	0.00	169.07	2.03	3800	148717	810	-	629	-	62	-	115	-
L14Sv01.LSR1.minia	1	1	1	1	1	1	642045	642045	642045	642045	642045	642045	1	642045	642045	642011	26.29	26.29	642045	642045	642045	642045	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	186.91	15.89	641883	641883	641883	641883	641883	641883	1	1	1	1
L14Sv01.myzus.minia	428	95	1	0	0	0	353906	149452	5494	0	0	0	323	5494	307110	642011	28.65	26.29	974	-	693	-	100	-	193	-	0	0	0	0	0	0	0	4 + 0 part	3487	46.949	1.007	0.00	174.18	6.64	5494	303590	971	-	692	-	100	-	194	-
L14Sv01.rearranged.minia	21	21	20	16	8	3	528509	528509	524285	498616	359656	184212	21	79922	528509	642011	26.04	26.29	35263	32258	21902	13218	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.289	1.000	0.00	191.37	15.71	79922	528265	35263	32258	21902	13218	6	7	10	15
L14Sv01.schyzaphis.minia	223	25	0	0	0	0	151716	37408	0	0	0	0	140	3617	114846	642011	30.80	26.29	803	-	620	-	48	-	89	-	0	0	0	0	0	0	0	0 + 0 part	0	17.808	1.005	0.00	170.56	4.37	3617	114839	803	-	620	-	48	-	89	-
L15Sv08.LSR1.minia	2	2	2	2	2	1	642057	642057	642057	642057	642057	607208	2	607208	642057	642011	26.29	26.29	607208	607208	607208	607208	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	176.32	15.42	607127	641896	607127	607127	607127	607127	1	1	1	1
L15Sv08.myzus.minia	404	88	1	0	0	0	329992	135823	5016	0	0	0	308	5016	286952	642011	28.73	26.29	962	-	686	-	96	-	185	-	0	0	0	0	0	0	0	5 + 0 part	4229	43.726	1.007	0.00	168.14	6.06	5016	282701	956	-	675	-	97	-	187	-
L15Sv08.rearranged.minia	22	22	19	16	8	3	528450	528450	518341	498574	359634	184203	22	79917	528450	642011	26.04	26.29	35259	32237	21902	13214	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.278	1.000	0.00	182.68	14.39	79917	528218	35259	32237	21902	13214	6	7	10	15
L15Sv08.schyzaphis.minia	195	21	0	0	0	0	132127	32825	0	0	0	0	124	3622	100396	642011	31.15	26.29	752	-	594	-	42	-	79	-	0	0	0	0	0	0	0	0 + 0 part	0	15.570	1.004	0.00	158.06	5.00	3622	100374	752	-	594	-	42	-	79	-
L15Sv14.LSR1.minia	3	3	3	3	3	2	642022	642022	642022	642022	642022	607178	3	523106	642022	642011	26.28	26.29	523106	523106	523106	523106	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	178.04	15.89	523086	641855	523086	523086	523086	523086	1	1	1	1
L15Sv14.myzus.minia	432	109	2	0	0	0	374983	175687	10981	0	0	0	330	5952	329229	642011	28.50	26.29	1041	519	715	-	99	314	192	-	0	0	0	0	0	0	0	5 + 0 part	5819	49.988	1.008	0.00	167.95	6.54	5952	323356	1026	504	700	-	100	321	196	-
L15Sv14.rearranged.minia	22	22	19	16	8	3	528545	528545	518410	498628	359623	184221	22	79933	528545	642011	26.04	26.29	35270	32234	21904	13220	6	7	10	15	0	0	0	0	0	0	0	0 + 0 part	0	82.304	1.000	0.00	182.82	15.71	79933	528303	35270	32234	21904	13220	6	7	10	15
L15Sv14.schyzaphis.minia	246	32	0	0	0	0	173573	47739	0	0	0	0	166	3795	137851	642011	30.66	26.29	814	-	636	-	56	-	104	-	0	0	0	0	0	0	0	0 + 0 part	0	21.359	1.005	0.00	168.45	4.38	3795	137835	814	-	636	-	56	-	104	-
L17ML03.LSR1.minia	2	2	2	2	2	1	641826	641826	641826	641826	641826	607339	2	607339	641826	642011	26.30	26.29	607339	607339	607339	607339	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.955	1.000	0.00	221.28	14.96	607254	641741	607254	607254	607254	607254	1	1	1	1
L17ML03.myzus.minia	420	96	1	0	0	0	353050	152830	5493	0	0	0	317	5493	307088	642011	28.69	26.29	998	-	707	-	97	-	189	-	0	0	0	0	0	0	0	6 + 0 part	5693	46.629	1.007	0.00	196.75	8.35	5493	301377	982	-	696	-	98	-	191	-
L17ML03.rearranged.minia	22	22	19	16	8	3	528180	528180	518057	498309	359340	184192	22	79902	528180	642011	26.05	26.29	35271	32285	21902	13229	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	82.250	1.000	0.00	221.95	14.77	79902	528079	35266	32285	21902	13229	6	7	10	15
L17ML03.schyzaphis.minia	221	24	0	0	0	0	151160	35567	0	0	0	0	144	3797	116746	642011	30.85	26.29	786	-	631	-	50	-	92	-	0	0	0	0	0	0	0	0 + 0 part	0	18.081	1.006	0.00	184.35	6.89	3797	116745	786	-	631	-	50	-	92	-
