Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Mel	278	18	2	1	1	1	799166	678576	650270	642431	642431	642431	93	642431	729199	642011	27.29	26.29	642431	642431	642431	642431	1	1	1	1	0	0	0	1	0	0	0	3 + 6 part	19311	100.000	1.106	0.00	17.29	2.49	642132	708918	642132	642132	642132	642132	1	1	1	1
Mil	261	24	13	10	8	6	787057	679115	656881	637165	594588	534800	84	117175	720538	642011	27.43	26.29	77999	99069	30649	56371	4	3	7	6	0	0	0	1	0	0	1	5 + 5 part	25501	99.983	1.083	0.00	197.85	14.33	117175	693588	77999	99069	30649	56371	4	3	7	6
MI	280	18	4	3	3	3	803608	684822	655577	647650	647650	647650	88	374822	731714	642011	27.41	26.29	374822	374822	183129	183129	1	1	2	2	0	0	0	2	0	0	1	5 + 6 part	32103	99.965	1.090	0.00	233.41	16.67	374656	696564	374656	374656	175224	175224	1	1	2	2
Os	284	21	7	6	4	4	796270	674066	651546	643620	614330	614330	96	358761	725422	642011	27.22	26.29	118514	358761	78199	78199	2	1	3	3	1	1	358761	1	0	0	0	4 + 3 part	15083	99.906	1.107	0.00	153.26	12.32	186876	708706	118398	171021	77878	77878	3	2	4	4
Ov	305	19	6	5	4	3	814502	679008	653398	643709	632990	596428	108	246404	739877	642011	27.42	26.29	229212	229212	120812	120812	2	2	3	3	0	0	0	1	0	0	1	11 + 6 part	27552	99.997	1.110	0.00	240.19	15.89	246349	711185	228891	228891	120752	120752	2	2	3	3
Pea	368	29	5	3	3	2	869598	705809	665410	651786	651786	608621	148	449185	785350	642011	27.41	26.29	449185	449185	159436	159436	1	1	2	2	0	0	0	1	0	0	0	6 + 3 part	32241	99.998	1.173	0.00	251.87	15.73	439459	751691	439459	439459	159436	159436	1	1	2	2
R21Cs02	226	10	2	1	1	1	759177	663565	650182	642256	642256	642256	60	642256	697288	642011	26.76	26.29	642256	642256	642256	642256	1	1	1	1	0	0	0	2	0	0	0	1 + 0 part	7926	99.965	1.074	0.00	228.27	14.49	641947	688881	641947	641947	641947	641947	1	1	1	1
Sl	280	33	14	11	9	5	784399	670494	634977	612859	577327	434199	102	117308	716927	642011	27.35	26.29	69962	69962	36442	37417	4	4	8	7	0	0	0	1	0	0	0	8 + 3 part	18720	99.134	1.097	0.00	223.74	12.26	117308	696591	69962	69962	36442	37417	4	4	8	7
Sv	254	19	6	5	4	3	775499	670470	648497	640571	630436	604845	73	375656	706563	642011	26.96	26.29	375656	375656	108875	120314	1	1	3	2	1	1	1694	1	0	0	1	2 + 1 part	10250	99.990	1.085	0.00	188.49	16.82	375641	695231	375641	375641	108502	120302	1	1	3	2
Vc	281	24	8	7	7	6	797833	678865	650170	642330	642330	597385	96	215548	727374	642011	27.27	26.29	82248	82248	59554	71416	3	3	6	5	0	0	0	1	0	0	0	3 + 3 part	17953	99.934	1.106	0.00	258.89	17.30	215475	708099	82248	82248	59554	71364	3	3	6	5
Vl	274	19	7	6	5	4	785313	670552	650117	642191	618715	579566	82	186533	713056	642011	27.10	26.29	174371	174371	69360	149302	2	2	4	3	0	0	0	1	0	0	1	4 + 1 part	14596	99.936	1.089	0.00	225.68	13.09	186533	696981	174371	174371	69345	149018	2	2	4	3
